cote_carnet,Nom_image,Piece,titre_carnet,annees,Intitule,Lieu_Precis,coordonnées géographiques,Support,Dimensions_largeur_hauteur),Precision_vue
93AJ/316/4,FRAN126_0119_L.jpg,Carnet n°7,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",1844,Lagny-sur-Marne,,"48.878055555556,2.7066666666667",Papier,"30,5 x 9,5 cm",fol. 5v-6r
93AJ/316/4,FRAN126_0122_L.jpg,Carnet n°7,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",1844,Enghien-les-Bains,,"48.969722222222,2.3080555555556",Papier,"30,5 x 9,5 cm",fol. 7v-8r
93AJ/316/4,FRAN126_0125_L.jpg,Carnet n°7,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",1844,Léry,,"47.556666666667,4.8408333333333",Papier,"30,5 x 9,5 cm",fol. 10v-11r
93AJ/316/4,FRAN126_0126_L.jpg,Carnet n°7,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",1844,Bagneux,,"48.797777777778,2.3125",Papier,"30,5 x 9,5 cm",fol. 11v-12r
93AJ/316/4,FRAN126_0127_L.jpg,Carnet n°7,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",1844,Bagneux,,"48.797777777778,2.3125",Papier,"30,5 x 9,5 cm",fol. 12v-13r
93AJ/316/4,FRAN126_0128_L.jpg,Carnet n°7,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",1844,Bagneux,,"48.797777777778,2.3125",Papier,"30,5 x 9,5 cm",fol. 13v-14r
93AJ/316/4,FRAN126_0130_L.jpg,Carnet n°7,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",1844,Cambronne-lès-Clermont,,"49.33,2.3994444444444",Papier,"30,5 x 9,5 cm",fol. 15v-16r
93AJ/316/4,FRAN126_0131_L.jpg,Carnet n°7,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",1844,Creil,,"49.257777777778,2.4827777777778",Papier,"30,5 x 9,5 cm",fol. 16v-17r
93AJ/316/4,FRAN126_0132_L.jpg,Carnet n°7,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",1844,Élincourt-Sainte-Marguerite,,"49.525555555556,2.8180555555556",Papier,"30,5 x 9,5 cm",fol. 17v-18r
93AJ/316/4,FRAN126_0133_L.jpg,Carnet n°7,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",1844,Loctudy,,"47.833611111111,-4.1691666666667",Papier,"30,5 x 9,5 cm",fol. 18v-19r
93AJ/316/4,FRAN126_0136_L.jpg,Carnet n°7,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",1844,Falaise,,"48.897222222222,-0.1975",Papier,"30,5 x 9,5 cm",fol. 50v-51r
93AJ/316/4,FRAN126_0137_L.jpg,Carnet n°7,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",1844,Falaise,,"48.897222222222,-0.1975",Papier,"30,5 x 9,5 cm",fol. 51v-52r
93AJ/316/4,FRAN126_0139_L.jpg,Carnet n°7,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",1844,Port-en-Bessin-Huppain,,"49.344166666667,-0.75527777777778",Papier,"30,5 x 9,5 cm",fol. 53v-54r
93AJ/316/5,FRAN126_0148_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,L'Isle-Adam,,"49.111111111111,2.2227777777778",Papier,"34 x 11,5 cm",fol. 3v-4r
93AJ/316/5,,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Chambly,,"49.166666666667,2.2480555555556",,,
93AJ/316/5,,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Clermont-Ferrand,,"45.779722222222,3.0869444444444",,,
93AJ/316/5,FRAN126_0149_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Clermont-Ferrand,,"45.779722222222,3.0869444444444",Papier,"34 x 11,5 cm",fol. 4v-5r
93AJ/316/5,FRAN126_0150_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Agnetz,,"49.382222222222,2.3841666666667",Papier,"34 x 11,5 cm",fol. 5v-6r
93AJ/316/5,FRAN126_0151_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Clermont,,"49.378888888889,2.4125",Papier,"34 x 11,5 cm",fol. 6v-7r
93AJ/316/5,FRAN126_0153_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Beauvais,,"49.434166666667,2.0875",Papier,"34 x 11,5 cm",fol. 8v-9r
93AJ/316/5,FRAN126_0154_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Beauvais,,"49.434166666667,2.0875",Papier,"34 x 11,5 cm",fol. 9v-10r
93AJ/316/5,FRAN126_0155_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Beauvais,,"49.434166666667,2.0875",Papier,"34 x 11,5 cm",fol. 10v-11r
93AJ/316/5,FRAN126_0156_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Beauvais,,"49.434166666667,2.0875",Papier,"34 x 11,5 cm",fol. 11v-12r
93AJ/316/5,FRAN126_0160_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Senlis,,"49.207222222222,2.5866666666667",Papier,"34 x 11,5 cm",fol. 15v-16r
93AJ/316/5,FRAN126_0161_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Creil,,"49.257777777778,2.4827777777778",Papier,"34 x 11,5 cm",fol. 16v-17r
93AJ/316/5,FRAN126_0162_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Montataire,,"49.255555555556,2.4383333333333",Papier,"34 x 11,5 cm",fol. 17v-18r
93AJ/316/5,FRAN126_0167_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Bordeaux,,"44.837777777778,-0.57944444444444",Papier,"34 x 11,5 cm",fol. 27v-28r
93AJ/316/5,FRAN126_0168_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Périgueux,,"45.184166666667,0.71805555555556",Papier,"34 x 11,5 cm",fol. 28v-29r
93AJ/316/5,FRAN126_0169_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Angoulême,,"45.649444444444,0.15944444444444",Papier,"34 x 11,5 cm",fol. 29v-30r
93AJ/316/5,FRAN126_0170_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Angoulême,,"45.649444444444,0.15944444444444",Papier,"34 x 11,5 cm",fol. 30v-31r
93AJ/316/5,FRAN126_0171_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Saintes,,"45.745277777778,-0.63444444444444",Papier,"34 x 11,5 cm",fol. 31v-32r
93AJ/316/5,FRAN126_0172_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Saintes,,"45.745277777778,-0.63444444444444",Papier,"34 x 11,5 cm",fol. 32v-33r
93AJ/316/5,FRAN126_0173_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Saintes,,"45.745277777778,-0.63444444444444",Papier,"34 x 11,5 cm",fol. 33v-34r
93AJ/316/5,FRAN126_0174_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Saintes,,"45.745277777778,-0.63444444444444",Papier,"34 x 11,5 cm",fol. 34v-35r
93AJ/316/5,FRAN126_0175_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Saintes,,"45.745277777778,-0.63444444444444",Papier,"34 x 11,5 cm",fol. 35v-36r
93AJ/316/5,FRAN126_0176_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Saint-Savin,,"45.138611111111,-0.44861111111111",Papier,"34 x 11,5 cm",fol. 36v-37r
93AJ/316/5,FRAN126_0177_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Poitiers,,"46.581111111111,0.33527777777778",Papier,"34 x 11,5 cm",fol. 37v-38r
93AJ/316/5,FRAN126_0178_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Poitiers,,"46.581111111111,0.33527777777778",Papier,"34 x 11,5 cm",fol. 38v-39r
93AJ/316/5,FRAN126_0179_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Poitiers,,"46.581111111111,0.33527777777778",Papier,"34 x 11,5 cm",fol. 39v-40r
93AJ/316/5,FRAN126_0180_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Poitiers,,"46.581111111111,0.33527777777778",Papier,"34 x 11,5 cm",fol. 40v-41r
93AJ/316/5,FRAN126_0181_L.jpg,Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,Poitiers,,"46.581111111111,0.33527777777778",Papier,"34 x 11,5 cm",fol. 41v-42r
93AJ/316/6,FRAN126_0187_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Noyon,,"49.581111111111,2.9988888888889",Papier,35 x 11 cm,Contre-plat sup.-fol. 1r
93AJ/316/6,FRAN126_0188_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Laon,,"49.563333333333,3.6236111111111",Papier,35 x 11 cm,fol. 1v-2r
93AJ/316/6,,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Noyon,,"49.581111111111,2.9988888888889",,,
93AJ/316/6,FRAN126_0189_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Maxey-sur-Meuse,,"48.450833333333,5.6977777777778",Papier,35 x 11 cm,fol. 2v-3r
93AJ/316/6,FRAN126_0190_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Malloué,Grotte saint-Ortaire,"48.951111111111,-0.95138888888889",Papier,35 x 11 cm,fol. 3v-4r
93AJ/316/6,FRAN126_0191_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Soissons-sur-Nacey,,"47.258888888889,5.4561111111111",Papier,35 x 11 cm,fol. 4v-5r
93AJ/316/6,FRAN126_0192_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Langres,,"47.8625,5.3330555555556",Papier,35 x 11 cm,fol. 5v-6r
93AJ/316/6,FRAN126_0193_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Clairoix,,"49.4425,2.8469444444444",Papier,35 x 11 cm,fol. 6v-7r
93AJ/316/6,FRAN126_0194_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Meaux,,"48.959444444444,2.8877777777778",Papier,35 x 11 cm,fol. 7v-8r
93AJ/316/6,FRAN126_0195_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Laon,,"49.563333333333,3.6236111111111",Papier,35 x 11 cm,fol. 8v-9r
93AJ/316/6,FRAN126_0196_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Sens,,"48.197222222222,3.2833333333333",Papier,35 x 11 cm,fol. 9v-10r
93AJ/316/6,,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Noyon,,"49.581111111111,2.9988888888889",,,
93AJ/316/6,FRAN126_0197_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Troyes,,"48.298888888889,4.0780555555556",Papier,35 x 11 cm,fol. 10v-11r
93AJ/316/6,,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Laon,,"49.563333333333,3.6236111111111",,,
93AJ/316/6,FRAN126_0198_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Troyes,,"48.298888888889,4.0780555555556",Papier,35 x 11 cm,fol. 11v-12r
93AJ/316/6,FRAN126_0199_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Laon,,"49.563333333333,3.6236111111111",Papier,35 x 11 cm,fol. 12v-13r
93AJ/316/6,FRAN126_0200_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Laon,,"49.563333333333,3.6236111111111",Papier,35 x 11 cm,fol. 13v-14r
93AJ/316/6,FRAN126_0202_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Laon,,"49.563333333333,3.6236111111111",Papier,35 x 11 cm,fol. 15v-16r
93AJ/316/6,FRAN126_0203_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Laon,,"49.563333333333,3.6236111111111",Papier,35 x 11 cm,fol. 16v-17r
93AJ/316/6,FRAN126_0204_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Châlons-en-Champagne,,"48.956666666667,4.3644444444444",Papier,35 x 11 cm,fol. 17v-18r
93AJ/316/6,FRAN126_0205_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Domrémy-la-Pucelle,,"48.4425,5.675",Papier,35 x 11 cm,fol. 18v-19r
93AJ/316/6,FRAN126_0206_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Domrémy-la-Pucelle,,"48.4425,5.675",Papier,35 x 11 cm,fol. 19v-20r
93AJ/316/6,FRAN126_0207_L.jpg,Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,Langres,,"47.8625,5.3330555555556",Papier,35 x 11 cm,fol. 20v-21r
