Cote,Piece,annees,cote_carnet,titre_carnet,Intitule,coordonnées géographiques,Lieu_Precis,Support,Dimensions_largeur_hauteur),Precision_vue,Observations,Nom_image,Localite_Ademec,Lieu visité
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Fontainebleau,"48.408888888889,2.7016666666667",,Papier,"35,5 x 11 cm",fol. 31v-32r,,FRAN126_0045_L.jpg,Fontainebleau,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",La Rochepot,"46.958055555556,4.6788888888889",,Papier,"35,5 x 11 cm",fol. 1v-2r,,FRAN126_0060_L.jpg,,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Vienne,"45.525555555556,4.8747222222222",,Papier,"35,5 x 11 cm",fol. 4v-5r,,FRAN126_0063_L.jpg,Vienne,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Mesnil-sous-Vienne,"49.385833333333,1.6672222222222",,Papier,"35,5 x 11 cm",fol. 5v-6r,,FRAN126_0064_L.jpg,,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Tain-l'Hermitage,"45.070555555556,4.8425",,Papier,"35,5 x 11 cm",fol. 6v-7r,,FRAN126_0065_L.jpg,Tain-l'Hermitage,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Tournon,"45.643611111111,6.3169444444444",,Papier,"35,5 x 11 cm",fol. 7v-8r,,FRAN126_0066_L.jpg,Tournon,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Alboussière,"44.944166666667,4.7288888888889",,Papier,"35,5 x 11 cm",fol. 8v-9r,,FRAN126_0067_L.jpg,,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Mornas,"44.2025,4.7280555555556",,Papier,"35,5 x 11 cm",fol. 9v-10r,,FRAN126_0068_L.jpg,Mornas,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Villeneuve-lès-Avignon,"43.966388888889,4.7958333333333",,Papier,"35,5 x 11 cm",fol. 11v-12r,,FRAN126_0070_L.jpg,,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",mont Ventoux,"44.166666666667,5.2833333333333",,Papier,"35,5 x 11 cm",fol. 12v-13r,,FRAN126_0071_L.jpg,,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Avignon,"43.948611111111,4.8083333333333",,Papier,"35,5 x 11 cm",fol. 13v-14r,,FRAN126_0072_L.jpg,Avignon,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Avignon,"43.948611111111,4.8083333333333",,Papier,"35,5 x 11 cm",fol. 14v-15r,,FRAN126_0073_L.jpg,Avignon,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Villeneuve-lès-Avignon,"43.966388888889,4.7958333333333",,Papier,"35,5 x 11 cm",fol. 15v-16r,,FRAN126_0074_L.jpg,,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Arles,"43.676944444444,4.6286111111111",,Papier,"35,5 x 11 cm",fol. 16v-17r,,FRAN126_0075_L.jpg,Arles,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",montagne Sainte-Victoire,"43.539166666667,5.6452777777778",,Papier,"35,5 x 11 cm",fol. 17v-18r,,FRAN126_0076_L.jpg,,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Aix-en-Provence,"43.527777777778,5.4455555555556",,Papier,"35,5 x 11 cm",fol. 18v-19r,,FRAN126_0077_L.jpg,Aix-en-Provence,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Fréjus,"43.433055555556,6.7355555555556",,Papier,"35,5 x 11 cm",fol. 19v-20r,,FRAN126_0078_L.jpg,Fréjus,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Fréjus,"43.433055555556,6.7355555555556",,Papier,"35,5 x 11 cm",fol. 21v-22r,,FRAN126_0080_L.jpg,Fréjus,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Saint-Tropez,"43.269722222222,6.6386111111111",,Papier,"35,5 x 11 cm",fol. 22v-23r,,FRAN126_0081_L.jpg,Saint-Tropez,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Saint-Raphaël,"43.424722222222,6.7677777777778",,Papier,"35,5 x 11 cm",fol. 23v-24r,,FRAN126_0082_L.jpg,Saint-Raphaël,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",cap Roux,"43.4513,6.9226",,Papier,"35,5 x 11 cm",fol. 24v-25r,,FRAN126_0083_L.jpg,,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Fréjus,"43.433055555556,6.7355555555556",,Papier,"35,5 x 11 cm",fol. 25v-26r,,FRAN126_0084_L.jpg,Fréjus,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",col de Tende,"44.14972222,7.56166667",,Papier,"35,5 x 11 cm",fol. 26v-27r,,FRAN126_0085_L.jpg,,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Fréjus,"43.433055555556,6.7355555555556",,Papier,"35,5 x 11 cm",fol. 27v-28r,,FRAN126_0086_L.jpg,Fréjus,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",pont du Gard,"43.9473,4.5355",,Papier,"35,5 x 11 cm",fol. 29v-30r,,FRAN126_0088_L.jpg,,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Uzès,"44.0125,4.4197222222222",,Papier,"35,5 x 11 cm",fol. 30v-31r,,FRAN126_0089_L.jpg,Uzès,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Authon-du-Perche,"48.195555555556,0.8925",,Papier,"35,5 x 11 cm",fol. 31v-32r,,FRAN126_0090_L.jpg,,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Vacqueyras,"44.138333333333,4.9822222222222",,Papier,"35,5 x 11 cm",fol. 32v-33r,,FRAN126_0091_L.jpg,Vacqueyras,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Orange,"44.1375,4.8088888888889",,Papier,"35,5 x 11 cm",fol. 33v-34r,,FRAN126_0092_L.jpg,Orange,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Orange,"44.1375,4.8088888888889",,Papier,"35,5 x 11 cm",fol. 34v-35r,,FRAN126_0093_L.jpg,Orange,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Valliguières,"44.007222222222,4.5791666666667",,Papier,"35,5 x 11 cm",fol. 35v-36r,,FRAN126_0094_L.jpg,Valliguières,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Nîmes,"43.836944444444,4.36",,Papier,"35,5 x 11 cm",fol. 38v-39r,,FRAN126_0097_L.jpg,Nîmes,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Saint-Jean-du-Gard,"44.104722222222,3.8861111111111",,Papier,"35,5 x 11 cm",fol. 39v-40r,,FRAN126_0098_L.jpg,Saint-Jean-du-Gard,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",plateau de Gergovie,"45.72027778,3.11805556",,Papier,"35,5 x 11 cm",fol. 40v-41r,,FRAN126_0099_L.jpg,,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",plateau de Gergovie,"45.72078,3.11856",,,,,,,,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Chevreuse,"48.7075,2.0383333333333",,Papier,"35,5 x 11 cm",fol. 43v-44r,,FRAN126_0102_L.jpg,Chevreuse,
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Dourdan,"48.528888888889,2.0108333333333",,Papier,"35,5 x 11 cm",fol. 45v-46r,,FRAN126_0105_L.jpg,Dourdan,
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Gouvernes,"48.860555555556,2.6938888888889",,Papier,"30,5 x 9,5 cm",fol. 4v-5r,,FRAN126_0118_L.jpg,Gouvernes,
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Lagny-sur-Marne,"48.878055555556,2.7066666666667",,Papier,"30,5 x 9,5 cm",fol. 5v-6r,,FRAN126_0119_L.jpg,Lagny-sur-Marne,
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Enghien-les-Bains,"48.969722222222,2.3080555555556",,Papier,"30,5 x 9,5 cm",fol. 7v-8r,,FRAN126_0122_L.jpg,Enghien-les-Bains,
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Léry,"47.556666666667,4.8408333333333",,Papier,"30,5 x 9,5 cm",fol. 10v-11r,,FRAN126_0125_L.jpg,Léry,
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux,"48.797777777778,2.3125",,Papier,"30,5 x 9,5 cm",fol. 11v-12r,,FRAN126_0126_L.jpg,Bagneux,
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux,"48.797777777778,2.3125",,Papier,"30,5 x 9,5 cm",fol. 12v-13r,,FRAN126_0127_L.jpg,Bagneux,
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux,"48.797777777778,2.3125",,Papier,"30,5 x 9,5 cm",fol. 13v-14r,,FRAN126_0128_L.jpg,Bagneux,
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Cambronne-lès-Clermont,"49.33,2.3994444444444",,Papier,"30,5 x 9,5 cm",fol. 15v-16r,,FRAN126_0130_L.jpg,Cambronne-lès-Clermont,
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Creil,"49.257777777778,2.4827777777778",,Papier,"30,5 x 9,5 cm",fol. 16v-17r,,FRAN126_0131_L.jpg,Creil,
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Élincourt-Sainte-Marguerite,"49.525555555556,2.8180555555556",,Papier,"30,5 x 9,5 cm",fol. 17v-18r,,FRAN126_0132_L.jpg,Élincourt-Sainte-Marguerite,
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Loctudy,"47.833611111111,-4.1691666666667",,Papier,"30,5 x 9,5 cm",fol. 18v-19r,,FRAN126_0133_L.jpg,Loctudy,
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Falaise,"48.897222222222,-0.1975",,Papier,"30,5 x 9,5 cm",fol. 50v-51r,,FRAN126_0136_L.jpg,Falaise,
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Falaise,"48.897222222222,-0.1975",,Papier,"30,5 x 9,5 cm",fol. 51v-52r,,FRAN126_0137_L.jpg,Falaise,
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Port-en-Bessin-Huppain,"49.344166666667,-0.75527777777778",,Papier,"30,5 x 9,5 cm",fol. 53v-54r,,FRAN126_0139_L.jpg,,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",L'Isle-Adam,"49.111111111111,2.2227777777778",,Papier,"34 x 11,5 cm",fol. 3v-4r,,FRAN126_0148_L.jpg,L'Isle-Adam,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Chambly,"49.166666666667,2.2480555555556",,,,,,,,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Clermont-Ferrand,"45.779722222222,3.0869444444444",,,,,,,,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Clermont,"45.779722222222,3.0869444444444",,Papier,"34 x 11,5 cm",fol. 4v-5r,,FRAN126_0149_L.jpg,Clermont-Ferrand,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Agnetz,"49.382222222222,2.3841666666667",,Papier,"34 x 11,5 cm",fol. 5v-6r,,FRAN126_0150_L.jpg,Agnetz,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Clermont,"49.378888888889,2.4125",,Papier,"34 x 11,5 cm",fol. 6v-7r,,FRAN126_0151_L.jpg,,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Beauvais,"49.434166666667,2.0875",,Papier,"34 x 11,5 cm",fol. 8v-9r,,FRAN126_0153_L.jpg,Beauvais,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Beauvais,"49.434166666667,2.0875",,Papier,"34 x 11,5 cm",fol. 9v-10r,,FRAN126_0154_L.jpg,Beauvais,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Beauvais,"49.434166666667,2.0875",,Papier,"34 x 11,5 cm",fol. 10v-11r,,FRAN126_0155_L.jpg,Beauvais,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Beauvais,"49.434166666667,2.0875",,Papier,"34 x 11,5 cm",fol. 11v-12r,,FRAN126_0156_L.jpg,Beauvais,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Senlis,"49.207222222222,2.5866666666667",,Papier,"34 x 11,5 cm",fol. 15v-16r,,FRAN126_0160_L.jpg,Senlis,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Creil,"49.257777777778,2.4827777777778",,Papier,"34 x 11,5 cm",fol. 16v-17r,,FRAN126_0161_L.jpg,Creil,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Montataire,"49.255555555556,2.4383333333333",,Papier,"34 x 11,5 cm",fol. 17v-18r,,FRAN126_0162_L.jpg,Montataire,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Bordeaux,"44.837777777778,-0.57944444444444",,Papier,"34 x 11,5 cm",fol. 27v-28r,,FRAN126_0167_L.jpg,Bordeaux,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Périgueux,"45.184166666667,0.71805555555556",,Papier,"34 x 11,5 cm",fol. 28v-29r,,FRAN126_0168_L.jpg,Périgueux,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Angoulême,"45.649444444444,0.15944444444444",,Papier,"34 x 11,5 cm",fol. 29v-30r,,FRAN126_0169_L.jpg,Angoulême,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Angoulême,"45.649444444444,0.15944444444444",,Papier,"34 x 11,5 cm",fol. 30v-31r,,FRAN126_0170_L.jpg,Angoulême,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Saintes,"45.745277777778,-0.63444444444444",,Papier,"34 x 11,5 cm",fol. 31v-32r,,FRAN126_0171_L.jpg,Saintes,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Saintes,"45.745277777778,-0.63444444444444",,Papier,"34 x 11,5 cm",fol. 32v-33r,,FRAN126_0172_L.jpg,Saintes,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Saintes,"45.745277777778,-0.63444444444444",,Papier,"34 x 11,5 cm",fol. 33v-34r,,FRAN126_0173_L.jpg,Saintes,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Saintes,"45.745277777778,-0.63444444444444",,Papier,"34 x 11,5 cm",fol. 34v-35r,,FRAN126_0174_L.jpg,Saintes,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Saintes,"45.745277777778,-0.63444444444444",,Papier,"34 x 11,5 cm",fol. 35v-36r,,FRAN126_0175_L.jpg,Saintes,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Saint-Savin,"45.138611111111,-0.44861111111111",,Papier,"34 x 11,5 cm",fol. 36v-37r,,FRAN126_0176_L.jpg,Saint-Savin,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Poitiers,"46.581111111111,0.33527777777778",,Papier,"34 x 11,5 cm",fol. 37v-38r,,FRAN126_0177_L.jpg,Poitiers,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Poitiers,"46.581111111111,0.33527777777778",,Papier,"34 x 11,5 cm",fol. 38v-39r,,FRAN126_0178_L.jpg,Poitiers,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Poitiers,"46.581111111111,0.33527777777778",,Papier,"34 x 11,5 cm",fol. 39v-40r,,FRAN126_0179_L.jpg,Poitiers,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Poitiers,"46.581111111111,0.33527777777778",,Papier,"34 x 11,5 cm",fol. 40v-41r,,FRAN126_0180_L.jpg,Poitiers,
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Poitiers,"46.581111111111,0.33527777777778",,Papier,"34 x 11,5 cm",fol. 41v-42r,,FRAN126_0181_L.jpg,Poitiers,
93AJ/316,Carnet n°10,1847,93AJ/316/6,"Voyage en Île-de-France, Picardie et Champagne",Noyon,"49.581111111111,2.9988888888889",,Papier,35 x 11 cm,Contre-plat sup.-fol. 1r,,FRAN126_0187_L.jpg,Noyon,
93AJ/316,Carnet n°10,1847,93AJ/316/6,"Voyage en Île-de-France, Picardie et Champagne",Laon,"49.563333333333,3.6236111111111",,Papier,35 x 11 cm,fol. 1v-2r,,FRAN126_0188_L.jpg,Laon,
93AJ/316,Carnet n°10,1847,93AJ/316/6,"Voyage en Île-de-France, Picardie et Champagne",Noyon,"49.581111111111,2.9988888888889",,,,,,,,
93AJ/316,Carnet n°10,1847,93AJ/316/6,"Voyage en Île-de-France, Picardie et Champagne",Maxey-sur-Meuse (Vosges),"48.450833333333,5.6977777777778",,Papier,35 x 11 cm,fol. 2v-3r,,FRAN126_0189_L.jpg,Maxey-sur-Meuse,
93AJ/316,Carnet n°10,1847,93AJ/316/6,"Voyage en Île-de-France, Picardie et Champagne","Grotte saint-Ortaire (Malloué, Calvados)","48.951111111111,-0.95138888888889",Grotte saint-Ortaire,Papier,35 x 11 cm,fol. 3v-4r,,FRAN126_0190_L.jpg,,
93AJ/316,Carnet n°10,1847,93AJ/316/6,"Voyage en Île-de-France, Picardie et Champagne",Soissons,"47.258888888889,5.4561111111111",,Papier,35 x 11 cm,fol. 4v-5r,,FRAN126_0191_L.jpg,Soissons-sur-Nacey,
93AJ/316,Carnet n°10,1847,93AJ/316/6,"Voyage en Île-de-France, Picardie et Champagne",Langres,"47.8625,5.3330555555556",,Papier,35 x 11 cm,fol. 5v-6r,,FRAN126_0192_L.jpg,Langres,
93AJ/316,Carnet n°10,1847,93AJ/316/6,"Voyage en Île-de-France, Picardie et Champagne",Clairoix,"49.4425,2.8469444444444",,Papier,35 x 11 cm,fol. 6v-7r,,FRAN126_0193_L.jpg,Clairoix,
